"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 24 18:48:45 CST 2021","Sat Jul 24 18:48:45 CST 2021","222","cases","test_pytest","TestCase","","","test_1_login[data2]",""
"failed","Sat Jul 24 18:48:43 CST 2021","Sat Jul 24 18:48:44 CST 2021","594","cases","test_pytest","TestCase","","","test_1_login[data0]",""
"passed","Sat Jul 24 18:48:45 CST 2021","Sat Jul 24 18:49:06 CST 2021","21618","cases","test_pytest","TestCase","","","test_2_index[data0]",""
"failed","Sat Jul 24 18:48:44 CST 2021","Sat Jul 24 18:48:45 CST 2021","234","cases","test_pytest","TestCase","","","test_1_login[data1]",""
